project_id,name,latitude,longitude,commodity,source_province,stage,controller_1,share_1,origin_1,controller_2,share_2,origin_2,controller_3,share_3,origin_3,spatial_province,province_code,province_match
39,Candela II,-24.3149583,-67.5870555555555,Litio,Salta,Exploración inicial,Armory Mining Corp.,1,Canadá,,,,,,,Salta,66,TRUE
40,Candelas,-25.47594,-67.14368,Litio,Catamarca,Evaluación Económica Preliminar,Galan Lithium Limited,1,Australia,-,-,-,-,-,-,Catamarca,10,TRUE
41,Cangrejillos,-23.70593969,-66.14165029,Litio,Salta,Exploración avanzada,Lithium S. Corporation,1,Canadá,,,,,,,Salta,66,TRUE
42,Cañadon Del Moro,-40.83333,-69.65,Plata,Río Negro,Exploración avanzada,Southern Copper Corp.,1,Estados Unidos,,,,,,,Río Negro,62,TRUE
43,Cap-Oeste,-47.94467,-70.45145,Oro,Santa Cruz,Producción,Patagonia Gold,0.95,Canadá,Fomicruz,0.05,-,-,-,-,Santa Cruz,78,TRUE
44,Casposo,-31.21083,-69.62918,Oro,San Juan,Producción,Austral Gold Limited,1,Australia,-,-,-,-,,,San Juan,70,TRUE
45,Castor Polux,-24.362,-66.828,Manganeso,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
46,Casualidad III,-26.016,-66.183,Cobre,Salta,Exploración inicial,Aguiar Ernesto Matin,,,,,,,,,Salta,66,TRUE
47,Cateos,-40.457365,-70.188942,Litio,Neuquén,Prospección,,,,,,,,,,Neuquén,58,TRUE
48,Cateos,-38.257306,-69.32361,Uranio,Neuquén,Prospección,,,,,,,,,,Neuquén,58,TRUE
49,Catriel (Mari),-37.7936111,-67.9633333333333,Uranio,Río Negro,Exploración inicial,CNEA,1,Argentina,,,,,,,Río Negro,62,TRUE
50,Cauchari,-23.72524,-66.81108,Litio,Jujuy,Prefactibilidad,Austroid Corp.,1,Estados Unidos,-,-,-,-,-,-,Jujuy,38,TRUE
51,Cauchari Jv,-23.75738,-66.79067,Litio,Jujuy,Prefactibilidad,Rio Tinto Group,1,Reino Unido,,,,,,,Jujuy,38,TRUE
52,Cauchari-Olaroz,-23.41623,-66.71316,Litio,Jujuy,Producción,Ganfeng Lithium Co. Ltd.,0.467,China,Lithium Argentina,0.448,Suiza,Jujuy Energia y Mineria,0.085,Argentina,Jujuy,38,TRUE
53,Cazadero Grande,-27.4436,-68.129047,Litio,Catamarca,Exploración inicial,CAMYEN SE,1,Argentina,,,,,,,Catamarca,10,TRUE
54,Centenario,-24.68115349,-66.61912636,Litio,Salta,Exploración avanzada,Lithium Power International Ltd.,1,Australia,,,,,,,Salta,66,TRUE
55,Centenario,-24.845,-66.8,Oro,Salta,Exploración inicial,Chengxin Lithium Group. Co.,1,China,,,,,,,Salta,66,TRUE
56,Centenario-Ratones,-25.09077,-66.81628,Litio,Salta,Producción,Eramet,1,Francia,,,,-,-,-,Salta,66,TRUE
57,Cerro Amarillo,-35.27361,-70.15611,Cobre,Mendoza,Exploración inicial,Wincul S.A.,1,Argentina,,,,,,,Mendoza,50,TRUE
58,Cerro Atajo,-27.332918,-66.456819,Cobre,Catamarca,Exploración avanzada,CAMYEN SE,1,Argentina,,,,,,,Catamarca,10,TRUE
59,Cerro Blanco,-40.965,-67.845,Plata,Río Negro,Exploración inicial,,,,,,,,,,Río Negro,62,TRUE
60,Cerro Choique,-40.88199,-67.84295,Oro,Río Negro,Exploración inicial,Trendix Mining SRL,1,Argentina,,,,,,,Río Negro,62,TRUE
61,Cerro Gordo,-24.716,-66.437,Oro,Salta,Exploración inicial,Cascadero Minerals S.A.,,,,,,,,,Salta,66,TRUE
62,Cerro Juncal,-24.767,-66.769,Oro,Salta,Exploración inicial,Minera Cerro Juncal S.A.,,,,,,,,,Salta,66,TRUE
63,Cerro Moro,-48.11,-66.65,Oro,Santa Cruz,Producción,Pan American Silver Corp,1,Canadá,-,-,-,-,-,-,Santa Cruz,78,TRUE
64,Cerro Negro,-46.90743,-70.22152,Oro,Santa Cruz,Producción,Newmont Goldcorp,1,Estados Unidos,-,-,-,-,-,-,Santa Cruz,78,TRUE
65,Cerro Negro,-24.862,-66.663,Cobre,Salta,Exploración inicial,Hanaq Group,1,China,,,,,,,Salta,66,TRUE
66,Cerro Peñón,-25.31234166,-68.40613333,Oro,Catamarca,Prospección,Elevado Gold,1,Australia,,,,,,,Catamarca,10,TRUE
67,Cerro Samenta,-24.91,-68.102,Cobre,Salta,Exploración inicial,Geoterra S.R.L.,1,Argentina,,,,,,,Salta,66,TRUE
68,Cerro Socompa,-24.395,-68.145,Cobre,Salta,Exploración avanzada,Rodriguez Silvia Rene,,,,,,,,,Salta,66,TRUE
69,Cerro Solo,-43.37,-68.688,Uranio,Chubut,Exploración avanzada,CNEA,1,Argentina,-,-,-,-,-,-,Chubut,26,TRUE
70,Cerro Vanguardia,-48.39861,-68.29083,Oro,Santa Cruz,Producción,AngloGold Ashanti plc,0.925,Sudáfrica,Fomicruz,0.075,Argentina,-,-,-,Santa Cruz,78,TRUE
71,Chachas,-24.248,-67.329,Cobre,Salta,Exploración avanzada,Minera El Toro S.A.,,,,,,,,,Salta,66,TRUE
72,Chihuidos,-37.8417,-69.45,Uranio,Neuquén,Exploración inicial,Blue Sky Uranium Corp.,1,Canadá,,,,,,,Neuquén,58,TRUE
73,Cienaga Grande,-24.9,-66.627,Manganeso,Salta,Exploración inicial,Lazarte Luis Gabriel,,,,,,,,,Salta,66,TRUE
74,Claudia,-48.56447,-68.10213,Oro,Santa Cruz,Exploración avanzada,Mirasol Resources Ltda.,1,Canadá,-,-,-,-,-,-,Santa Cruz,78,TRUE
75,Co. Abanico,-40.926,-68.262,Molibdeno,Río Negro,Exploración inicial,Southern Copper Corp.,1,Estados Unidos,,,,,,,Río Negro,62,TRUE
76,Co. La Mina,-40.896,-68.168,Plata,Río Negro,Exploración inicial,Southern Copper Corp.,1,Estados Unidos,,,,,,,Río Negro,62,TRUE
77,Coipita,-30.8986,-70.15645,Cobre,San Juan,Exploración inicial,Teck Resources Ltda.,0.8,Canadá,AbraSilver Corp.,0.2,Canadá,-,-,-,San Juan,70,TRUE
78,Conserrat,-48.2978,-68.53819,Oro,Santa Cruz,Exploración avanzada,Unico Silver Ltda.,1,Australia,,,,-,-,-,Santa Cruz,78,TRUE
79,Corcovo,-35.5,-69.75,Uranio,Mendoza,Exploración inicial,Blue Sky Uranium Corp.,1,Canadá,,,,,,,Mendoza,50,TRUE
80,Córdoba,-22.43,-66.34,Oro,Jujuy,Producción,Sociedad Minera Santa Maria S.A.,1,Argentina,-,-,-,-,-,-,Jujuy,38,TRUE
81,Cristal,-41.134,-68.672,Plata,Río Negro,Prospección,Southern Copper Corp.,1,Estados Unidos,,,,,,,Río Negro,62,TRUE
82,Custodio (San Martin Salamanca),-25.174,-65.805,Cobre,Salta,Exploración inicial,Ekeko S.A,,,,,,,,,Salta,66,TRUE
83,Cuya,-40.98916667,-68.38583333,Plata,Río Negro,Exploración inicial,Valcheta Exploraciones,1,Argentina,,,,,,,Río Negro,62,TRUE
84,Diablillos,-25.27349,-66.81259,Plata,Catamarca - Salta,Factibilidad,AbraSilver Resources Corp,1,Canadá,-,-,-,-,-,-,Catamarca,10,TRUE
85,Diana (La Torca),-24.431,-66.309,Plomo,Salta,Exploración avanzada,Cardero Argentina S.A.,,,,,,,,,Salta,66,TRUE
86,Distrito Gonzalito,-41.29,-65.75,Plomo,Río Negro,Exploración inicial,Trendix Mining SRL,1,Argentina,,,,,,,Río Negro,62,TRUE
87,Don Julio,-30.51674,-69.7068,Oro,San Juan,Exploración avanzada,South32 ltd.,0.65,Australia,Sable Resources Ltd.,0.35,Canadá,-,-,-,San Juan,70,TRUE
88,Don Nicolás,-47.93368,-67.45171,Oro,Santa Cruz,Producción,Cerrado Gold Inc.,1,Canadá,-,-,-,-,-,-,Santa Cruz,78,TRUE
89,Don Otto,-25.611,-65.927,Uranio,Salta,Factibilidad,CNEA,1,Argentina,,,,,,,Salta,66,TRUE
90,Don Sixto,-36.29308,-68.45586,Oro,Mendoza,Exploración avanzada,Pan American Silver Corp,1,Canadá,-,-,-,-,-,-,Mendoza,50,TRUE
91,Doncella,-24.787,-68.004,Litio,Salta,Exploración avanzada,Hanaq Group,1,China,,,,,,,Salta,66,TRUE
92,Dos Lagunas,-40.916,-67.958,Plata,Río Negro,Exploración inicial,Trendix Mining SRL,1,Argentina,,,,,,,Río Negro,62,TRUE
93,El Abra,-24.273,-66.472,Antimonio,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
94,El Acay,-24.408,-66.176,Plomo,Salta,Exploración inicial,Southern Cross Britania Lta.,,Reino Unido,,,,,,,Salta,66,TRUE
95,El Bagual,-40.406,-67.949,Plata,Río Negro,Exploración inicial,,,,,,,,,,Río Negro,62,TRUE
96,El Chorro,-24.933,-64.808,Cobre,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
97,El Dorado Monserrat,-48.40667,-68.60556,Oro,Santa Cruz,Exploración avanzada,Fredonia Mining Inc.,1,Canadá,-,-,-,-,-,-,Santa Cruz,78,TRUE
98,El Duende,-41.933,-69.176,Plata,Río Negro,Prospección,Patagonia Gold,1,Canadá,,,,,,,Río Negro,62,TRUE
99,El Fierro,-29.45117,-69.47948,Plata,San Juan,Exploración inicial,Sable Resources Ltd.,1,Canadá,-,-,-,-,-,-,San Juan,70,TRUE
100,El Mago,-40.328,-67.827,Oro,Río Negro,Prospección,Valcheta Exploraciones,1,Argentina,,,,,,,Río Negro,62,TRUE
101,El Morro,-41.286,-65.833,Plata,Río Negro,Exploración inicial,Patagonia Gold,1,Canadá,,,,,,,Río Negro,62,TRUE
102,El Nazareno,-22.512,-65.093,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
103,El Pachón,-31.744,-70.431,Cobre,San Juan,Factibilidad,Glencore Plc.,1,Suiza,-,-,-,-,-,-,San Juan,70,TRUE
104,El Pantano,-47.90065,-68.5027305555555,Oro,Santa Cruz,Exploración inicial,Orosur Mining Inc.,0.5,Canadá,Deseado Dorado S. A. S.,0.5,Argentina,,,,Santa Cruz,78,TRUE
105,El Peñon,-24.832,-66.31,Wolframio,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
106,El Quevar,-24.321178,-66.814928,Plata,Salta,Evaluación Económica Preliminar,Argenta Silver Corp.,1,Canadá,,,,-,-,-,Salta,66,TRUE
107,El Quirusillal,-22.486,-65.11,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
108,El Rosillo,-41.14835,-70.16163,Plata,Río Negro,Exploración inicial,Unico Silver Ltda.,1,Australia,,,,,,,Río Negro,62,TRUE
109,El Salto,-24.961,-64.831,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
110,El Zanjón,-48.76443,-67.95911,Oro,Santa Cruz,Prospección,Rugby Resources Ltd.,1,Canadá,,,,,,,Santa Cruz,78,TRUE
111,Elena,-25.029,-67.425,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
112,Emilia (Vicuña),-24.16,-66.401,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
113,Emma Olga,-25.133,-66.401,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
114,Encrucijada,-24.287,-66.182,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
115,Escondido,-41.75416667,-69.92527778,Plata,Río Negro,Exploración inicial,Patagonia Gold,1,Canadá,,,,,,,Río Negro,62,TRUE
116,Esperanza,-40.35944444,-68.39805556,Plata,Río Negro,Exploración inicial,Southern Copper Corp.,1,Estados Unidos,,,,,,,Río Negro,62,TRUE
117,Esperanza (ex Chacabuco),-22.743,-65.215,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
118,Esperanza Ii,-41.317,-65.717,Plomo,Río Negro,Prospección,Southern Copper Corp.,1,Estados Unidos,,,,,,,Río Negro,62,TRUE
119,Esperanza y Huachi,-29.92,-68.8547222222222,Oro,San Juan,Exploración inicial,Latin Metals Inc.,1,Canadá,,,,,,,San Juan,70,TRUE
120,Estela (Elsa),-24.499,-66.026,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
121,Esther (Farallones),-24.278,-66.463,Antimonio,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
122,Ex mina Frusso,-24.331,-67.683,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
123,Farallón Negro,-27.3079,-66.67527,Oro,Catamarca,Producción,YMAD,1,Argentina,-,-,-,-,-,-,Catamarca,10,TRUE
124,Fenix,-25.3927,-67.04878,Litio,Catamarca,Producción,Rio Tinto Group,1,Reino Unido,-,-,-,-,-,-,Catamarca,10,TRUE
125,Fierro,-41.43361111,-65.29027778,Hierro,Río Negro,Prospección,Argentina Lithium & Energy Corp.,1,Canadá,,,,,,,Río Negro,62,TRUE
126,Filo de Las Vicuñas,-27.625592,-68.494164,Oro,Catamarca,Exploración inicial,CAMYEN SE,1,Argentina,,,,,,,Catamarca,10,TRUE
127,Filo Del Sol,-28.49471,-69.662,Cobre,San Juan,Prefactibilidad,Lundin Mining Corporation,0.5,Canadá,BHP Group Corp.,0.5,Australia,-,-,-,San Juan,70,TRUE
128,Finca El Toro,-24.183,-65.855,Hierro,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
129,Flammarion,-24.17,-66.412,Plomo,Salta,Exploración avanzada,Hanaq Group,1,China,,,,,,,Salta,66,TRUE
130,Formentera-Cilón,-23.39751,-66.98014,Litio,Jujuy,Exploración inicial,Patagonia Lithium,1,Australia,,,,,,,Jujuy,38,TRUE
131,Francisco Cornejo,-24.365,-66.036,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
132,Gallego,-25.03,-67.01,Litio,Salta,Exploración avanzada,Everlight Resources,1,Australia,,,,,,,Salta,66,TRUE
133,Gran Mascasin,-31.7096638,-66.7770111,Litio,La Rioja,Prospección,Litios LRJ S.A.,1,Argentina,,,,,,,La Rioja,46,TRUE
134,Gualcamayo / Carbonatos Profundos,-29.72,-68.629,Oro,San Juan,Producción,Eris LLC,1,Estados Unidos,-,-,-,-,-,-,San Juan,70,TRUE
135,Hierro Indio,-35,-69.783333,Hierro,Mendoza,Exploración avanzada,Orvana Minerals Corp,,,,,,,,,Mendoza,50,TRUE
136,Hombre Muerto Norte,-25.22556,-66.98187,Litio,Salta,Evaluación Económica Preliminar,POSCO Holdings Inc.,1,Corea del Sur,,,,-,-,-,Salta,66,TRUE
137,Hombre Muerto Oeste,-25.4099951,-67.2450136,Litio,Catamarca,Construcción,Galan Lithium Limited,1,Australia,-,-,-,-,-,-,Catamarca,10,TRUE
138,Hombre Muerto,-25.534896,-67.10699,Litio,Catamarca,Prospección,Pan American Energy,1,Argentina,,,,,,,Catamarca,10,TRUE
139,Hope,-44.275,-67.0475,Uranio,Chubut,Prospección,,,,,,,,,,Chubut,26,TRUE
140,Hortencia,-24.282,-67.667,Cobre,Salta,Exploración inicial,Ganfeng Lithium Co. Ltd.,,,,,,,,,Salta,66,TRUE
141,Huaico Hondo,-24.479,-66.191,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
142,Hualilán,-30.73193,-68.95328,Oro,San Juan,Producción,Challenger Gold Ltda.,1,Australia,-,-,-,-,-,-,San Juan,70,TRUE
143,Huemules,-36.1539145,-69.2049679,Uranio,Mendoza,Exploración inicial,Jaguar Uranium Corp.,1,Canadá,,,,,,,Mendoza,50,TRUE
144,Inca,-24.34,-65.911,Hierro,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
145,Inca Viejo,-25.145,-66.761,Oro,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
146,Incachule,-24.267,-66.46,Manganeso,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
147,Incahuasi,-26.35584,-67.64756,Litio,Catamarca,Exploración inicial,Argentina Lithium & Energy Corp.,1,Canadá,-,-,-,-,-,-,Catamarca,10,TRUE
148,Incahuasi,-24.15033754,-67.53405109,Litio,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
149,Incahuasi,-24.362,-65.914,Oro,Salta,Exploración inicial,Cascadero Minerals S.A.,0.5,,N/A,0.5,,,,,Salta,66,TRUE
150,Incahuasi Moncho,-24.24349093,-67.56645623,Litio,Salta,Exploración avanzada,Ganfeng Lithium Co. Ltd.,1,China,,,,,,,Salta,66,TRUE
151,Incauca,-25.166,-66.401,Plomo,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
152,Interceptor,-27.68537,-68.29215,Cobre,Catamarca,Prospección,NGEx Minerals Ltd.,1,Canadá,-,-,-,-,-,-,Catamarca,10,TRUE
153,Ivana (Amarillo Grande),-39.61437,-67.22486,Uranio,Río Negro,Evaluación Económica Preliminar,Ivana Minerales S.A.,1,Argentina,-,-,-,-,-,-,Río Negro,62,TRUE
154,Jaguelíto,-29.77222,-69.6375,Oro,San Juan,Exploración inicial,Corporación América,1,Argentina,-,-,-,-,-,-,San Juan,70,TRUE
155,Josemaria,-28.43583,-69.54861,Cobre,San Juan,Construcción,Lundin Mining Corporation,0.5,Canadá,BHP Group,0.5,Australia,-,-,-,San Juan,70,TRUE
156,Juramento,-25.221,-65.112,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
157,Kachi,-26.49883,-67.42899,Litio,Catamarca,Factibilidad,Lake Resources NL,0.75,Australia,Lilac Solutions Inc.,0.25,Estados Unidos,-,-,-,Catamarca,10,TRUE
158,Kaia,-41.39638889,-69.41694444,Uranio,Río Negro,Prospección,,,,,,,,,,Río Negro,62,TRUE
159,Karachi Salar Escondido,-26.378105,-67.4459527,Litio,Catamarca,Prospección,Lithium South,1,Canadá,-,-,-,-,-,-,Catamarca,10,TRUE
160,La Ciénaga,-22.389,-65.073,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
161,La Colorada,-24.2475,-66.24944,Hierro,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
162,La Diez,-28.4452027,-66.65041,Litio,La Rioja,Prospección,Udine S.A.,1,Argentina,,,,,,,La Rioja,46,TRUE
163,La Esperanza,-40.2725,-68.24111111,Plata,Río Negro,Exploración inicial,Valcheta Exploraciones,1,Argentina,,,,,,,Río Negro,62,TRUE
164,La Esperanza,-24.242,-66.487,Plomo,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
165,La Josefina,-47.86613,-69.37623,Oro,Santa Cruz,Exploración avanzada,Patagonia Gold,0.95,Canadá,Fomicruz,0.05,Argentina,-,-,-,Santa Cruz,78,TRUE
166,La Luz - Ivan Trend,-40.649,-68.437,Plomo,Río Negro,Exploración inicial,Trendix Mining SRL,1,Argentina,,,,,,,Río Negro,62,TRUE
167,La Manchuria,-48.15831,-69.89174,Oro,Santa Cruz,Exploración avanzada,Astra Exploration,0.9,Canadá,Fomicruz,0.1,Argentina,-,-,-,Santa Cruz,78,TRUE
168,La Niquelina,-22.347,-65.221,Niquel,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
169,La Ortiga,-28.79747,-69.4495,Cobre,San Juan,Exploración avanzada,Barrick Mining Corporation,1,Canadá,,,,-,-,-,San Juan,70,TRUE
170,La Poma (La negra),-24.241,-66.485,Plomo,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
171,La Poma I,-24.438,-66.303,Plomo,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
172,"La Porfiada (Don Eusebio, Don Marcos, Magnetita)",-24.336,-65.849,Hierro,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
173,La Providencia,-23.26139,-66.80083,Plata,Jujuy,Producción,Hanaq Group,1,China,-,-,-,-,-,-,Jujuy,38,TRUE
174,La Victoria,-24.792,-68.061,Hierro,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
175,Lago Seco,-44.3777778,-67.3202777777777,Uranio,Chubut,Prospección,,,,,,,,,,Chubut,26,TRUE
176,Laguna Amarilla,-40.905,-67.949,Plata,Río Negro,Exploración inicial,Rio de Oro Exploraciones,1,Argentina,,,,,,,Río Negro,62,TRUE
177,Laguna Colorada,-43.91,-68.67,Uranio,Chubut,Exploración avanzada,CNEA,1,Argentina,-,-,-,-,-,-,Chubut,26,TRUE
178,Laguna Salada,-44.29626,-67.21681,Uranio,Chubut,Evaluación Económica Preliminar,Jaguar Uranium Corp.,1,Canadá,-,-,-,-,-,-,Chubut,26,TRUE
179,Laguna Verde (La Borita),-25.35885,-67.4804,Litio,Catamarca,Exploración avanzada,Ultra Lithium Inc.,1,Canadá,,-,,-,-,-,Catamarca,10,TRUE
180,Lagunitas (Sepultura),-23.891,-66.249,Oro,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
181,Lama,-29.32967,-69.98827,Oro,San Juan,Exploración avanzada,Barrick Mining Corporation,1,Canadá,-,-,-,-,-,-,San Juan,70,TRUE
182,"Lara (San Antonio, San Jose, TOro Negro)",-25.683,-65.366,Cobre,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
183,Las Calandrias,-47.60674,-67.51792,Oro,Santa Cruz,Producción,Cerrado Gold Inc.,1,Canadá,-,-,-,-,-,-,Santa Cruz,78,TRUE
184,Las Flechas (Northern Properties),-28.69573,-69.56335,Cobre,San Juan,Exploración inicial,Pan American Silver Corp,1,Canadá,-,-,-,-,-,-,San Juan,70,TRUE
185,Las Opeñas,-29.77819,-69.34561,Oro,San Juan,Exploración inicial,NewPeak Metals Limited,1,Australia,-,-,-,-,-,-,San Juan,70,TRUE
186,Las Vertientes,-25.027,-67.306,Cobre,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
187,"Leo, Tiger, Panther",-24.933,-67.833,Plomo,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
188,Leoncito,-28.7210036,-68.987227,Litio,La Rioja,Exploración inicial,Kallpa,1,Argentina,,,,,,,La Rioja,46,TRUE
